source,granularity,name,address,district,lat,lon,unit_type,operator_name,operator_name_source,host_id,host_listings_count,website,picture_url,phone,email,raw_id,name_norm,domain,source_names,source_record_ids,merge_confidence,canonical_id,linked_establishment_id,linked_establishment_confidence,linked_establishment_evidence,candidate_establishment_id,candidate_establishment_distance_m,candidate_establishment_evidence,operator_name_normalized,operator_identity_confidence,unit_type_normalized,hotel_chain,operator_type,embedding_score_raw,embedding_score,embedding_suggestion
airbnb,listing,2 floors Apartment in historic city center,Innere Stadt,Innere Stadt,48.21362,16.37086,Entire rental unit,Emmanuel,airbnb_host,7147147.0,24.0,https://www.airbnb.com/rooms/50206201,https://a0.muscache.com/pictures/adde1c7e-313d-496c-91cc-4b761803fc6c.jpg,,,airbnb:50206201,2 floors apartment in historic city center,airbnb.com,airbnb,airbnb:50206201,single,abdd4f99-bc61-42d5-b97b-60d22f765573,,,,f15d3c86-11db-4d18-8398-2512d3f6e7a7,47.44,distance<=47m,emmanuel,high,apartment,,multi_listing,-1.316902995109558,1.0,strong_review
airbnb,listing,Apt near City center 3.10 Prestigeapartments,Alsergrund,Alsergrund,48.21525573730469,16.34971809387207,Entire serviced apartment,Prestige Apartments Sabrina,airbnb_host,14070533.0,62.0,https://www.airbnb.com/rooms/39907655,https://a0.muscache.com/pictures/809b589f-5ffa-409b-a7b0-17a83b4d14b0.jpg,,,airbnb:39907655,apt near city center 3 10 prestigeapartments,airbnb.com,airbnb,airbnb:39907655,single,a9905ca1-11d4-463a-bbc1-00fa69cb730f,,,,a47ea641-f77a-4eb6-be9a-35d7b2d74b24,39.43,distance<=39m,prestige apartments sabrina,high,apartment,,multi_listing,-1.3258459568023682,0.9906248480828983,strong_review
airbnb,listing,Zen Corner Apartment,Hernals,Hernals,48.21881613686853,16.327032409608364,Entire rental unit,Ольга,airbnb_host,452281710.0,7.0,https://www.airbnb.com/rooms/1449261021987420090,https://a0.muscache.com/pictures/hosting/Hosting-1449261021987420090/original/2fb41e99-5997-4ab8-82d0-c9cb096341f7.jpeg,,,airbnb:1449261021987420090,zen corner apartment,airbnb.com,airbnb,airbnb:1449261021987420090,single,293e504f-d50e-40c5-8fef-53b2b10be9c7,,,,5da36c91-9427-414a-9412-93d760272919,15.86,distance<=16m,,high,apartment,,multi_listing,-1.3284188508987427,0.9879276126648469,strong_review
airbnb,listing,Green Palm - 60m2 - central with green view,Rudolfsheim-Fnfhaus,Rudolfsheim-Fünfhaus,48.19496993,16.33804563,Entire rental unit,Theresia,airbnb_host,131677242.0,7.0,https://www.airbnb.com/rooms/1023806532867555231,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyMzgwNjUzMjg2NzU1NTIzMQ%3D%3D/original/bdc34d4b-cde7-416d-a9e4-331353db6d66.jpeg,,,airbnb:1023806532867555231,green palm 60m2 central with green view,airbnb.com,airbnb,airbnb:1023806532867555231,single,5a3c118e-88e9-49e9-a2cb-f514c4f23ecb,,,,f7f0c9a7-9dff-4cda-91a5-218529c7b61c,15.3,distance<=15m + token_overlap=palm,theresia,high,apartment,,multi_listing,-1.3492491245269775,0.9660906657508839,strong_review
airbnb,listing,"8th district: 4 Rooms, bright, quiet, garden",Josefstadt,Josefstadt,48.21321,16.34447,Entire rental unit,Karin,airbnb_host,7415262.0,1.0,https://www.airbnb.com/rooms/33494402,https://a0.muscache.com/pictures/9f665124-b00a-4f2d-ab10-6ad21d7c3dea.jpg,,,airbnb:33494402,8th district 4 rooms bright quiet garden,airbnb.com,airbnb,airbnb:33494402,single,f8a4765e-af58-4c4c-a9e9-e10902c66455,,,,6584074a-c525-4964-bce8-e5987182076b,43.58,distance<=44m,karin,high,apartment,,single_property,-1.3561782836914062,0.9588266382334089,strong_review
airbnb,listing,Apartment da Vinci - 15 min ins Zentrum,Favoriten,Favoriten,48.18155,16.37532,Entire rental unit,Vincenz,airbnb_host,130418355.0,7.0,https://www.airbnb.com/rooms/1236261200534286570,https://a0.muscache.com/pictures/hosting/Hosting-1236261200534286570/original/eda830fa-dd7f-49b7-a0e8-d48eb082aa30.jpeg,,,airbnb:1236261200534286570,apartment da vinci 15 min ins zentrum,airbnb.com,airbnb,airbnb:1236261200534286570,single,956c0e0b-754a-4a19-901b-be5ed20487b1,,,,6ea6fb4b-89df-4d90-93f9-f54499d3b2ca,19.15,distance<=19m,vincenz,high,apartment,,single_property,-1.364234447479248,0.9503811408719708,strong_review
airbnb,listing,"Sympatische Wiener Altbauwohnung, ideal gelegen",Leopoldstadt,Leopoldstadt,48.22159,16.3718,Private room in rental unit,Bernhard,airbnb_host,393278.0,2.0,https://www.airbnb.com/rooms/24881171,https://a0.muscache.com/pictures/f19190b1-8fdf-4dc1-9426-87f40d351bff.jpg,,,airbnb:24881171,sympatische wiener altbauwohnung ideal gelegen,airbnb.com,airbnb,airbnb:24881171,single,f6397894-1566-429b-a40a-051ce6a93513,,,,c05dfe7d-c995-41d0-ae37-c934c5e75842,41.61,distance<=42m,bernhard,high,apartment,,multi_listing,-1.3731998205184937,0.9409824945259855,strong_review
airbnb,listing,KarlundAntonBoutiqueApartments5,Donaustadt,Donaustadt,48.23879,16.42997,Entire rental unit,Manuel,airbnb_host,257543717.0,15.0,https://www.airbnb.com/rooms/762120755576560803,https://a0.muscache.com/pictures/miso/Hosting-762120755576560803/original/7b42a5b1-671b-43ac-a695-8635effb078d.jpeg,,,airbnb:762120755576560803,karlundantonboutiqueapartments5,airbnb.com,airbnb,airbnb:762120755576560803,single,765111f9-6b25-4144-9222-9e743823ed12,,,,b6f38890-dff8-4a5b-888f-c997a878552d,21.06,distance<=21m,manuel,high,apartment,,multi_listing,-1.3765233755111694,0.9374983207107015,strong_review
airbnb,listing,Das Allegro Hideaway- Mozart hat hier gewohnt,Innere Stadt,Innere Stadt,48.20765,16.37426,Private room in serviced apartment,Florian,airbnb_host,695326356.0,6.0,https://www.airbnb.com/rooms/1474827943276774909,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQ3NDgyNzk0MzI3Njc3NDkwOQ==/original/95c7a830-ac6f-4734-ba05-b8bb1215b5fd.jpeg,,,airbnb:1474827943276774909,das allegro hideaway mozart hat hier gewohnt,airbnb.com,airbnb,airbnb:1474827943276774909,single,96a122e7-6ecb-49d1-b67a-87f3f5ae187a,,,,e93ce174-56b4-416b-a09a-3096a4c11862,45.34,distance<=45m,florian,high,apartment,,multi_listing,-1.3789664506912231,0.9349371780216617,strong_review
airbnb,listing,Central Apartment at Donaukanal,Innere Stadt,Innere Stadt,48.21256,16.37271,Entire rental unit,Matilda,airbnb_host,64743752.0,2.0,https://www.airbnb.com/rooms/27184647,https://a0.muscache.com/pictures/miso/Hosting-27184647/original/971c6e0d-3120-4959-b12f-66df51802491.jpeg,,,airbnb:27184647,central apartment at donaukanal,airbnb.com,airbnb,airbnb:27184647,single,ebf4e26a-6237-4a78-9d83-d897beadb98e,,,,fbe72687-1db9-4743-93ed-2fe4801fb53d,6.66,distance<=7m,matilda,high,apartment,,multi_listing,-1.3803755044937134,0.9334600282907916,strong_review
